"filename", "language", "Python", "JSON", "HTML", "SCSS", "JavaScript", "PostCSS", "comment", "blank", "total"
"d:\artshelf\artshelf_project\templates\base.html", "HTML", 0, 0, 110, 0, 0, 0, 0, 5, 115
"d:\artshelf\artshelf_project\templates\includes\notifications.html", "HTML", 0, 0, 8, 0, 0, 0, 0, 2, 10
"d:\artshelf\artshelf_project\users\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\artshelf\artshelf_project\users\admin.py", "Python", 3, 0, 0, 0, 0, 0, 1, 3, 7
"d:\artshelf\artshelf_project\users\apps.py", "Python", 5, 0, 0, 0, 0, 0, 0, 3, 8
"d:\artshelf\artshelf_project\users\forms.py", "Python", 35, 0, 0, 0, 0, 0, 0, 9, 44
"d:\artshelf\artshelf_project\users\migrations\0001_initial.py", "Python", 39, 0, 0, 0, 0, 0, 1, 7, 47
"d:\artshelf\artshelf_project\users\migrations\0002_user_city.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"d:\artshelf\artshelf_project\users\migrations\0003_alter_user_city.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"d:\artshelf\artshelf_project\users\migrations\0004_user_is_popular.py", "Python", 12, 0, 0, 0, 0, 0, 1, 6, 19
"d:\artshelf\artshelf_project\users\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\artshelf\artshelf_project\users\models.py", "Python", 13, 0, 0, 0, 0, 0, 1, 3, 17
"d:\artshelf\artshelf_project\users\templates\users\edit.html", "HTML", 0, 0, 96, 0, 0, 0, 0, 6, 102
"d:\artshelf\artshelf_project\users\templates\users\login.html", "HTML", 0, 0, 35, 0, 0, 0, 0, 3, 38
"d:\artshelf\artshelf_project\users\templates\users\profile.html", "HTML", 0, 0, 143, 0, 0, 0, 0, 9, 152
"d:\artshelf\artshelf_project\users\templates\users\registration.html", "HTML", 0, 0, 48, 0, 0, 0, 0, 9, 57
"d:\artshelf\artshelf_project\users\tests.py", "Python", 1, 0, 0, 0, 0, 0, 1, 2, 4
"d:\artshelf\artshelf_project\users\urls.py", "Python", 10, 0, 0, 0, 0, 0, 0, 4, 14
"d:\artshelf\artshelf_project\users\views.py", "Python", 79, 0, 0, 0, 0, 0, 8, 18, 105
"Total", "-", 795, 19, 1063, 856, 10, 987, 261, 502, 4493
